"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.7077,-0.38188,1.0649,-54.675,626.68,0,0,0,0
-0.70796,-0.37164,1.0484,-72.026,602.5,0,0,0,0
-0.70758,-0.35573,1.0437,-71.092,594.4,0,0,0,0
-0.70749,-0.35272,1.0433,-69.543,593.78,0,0,0,0
-0.70737,-0.35118,1.045,-62.421,602.72,0,0,0,0
-0.70789,-0.36604,1.0453,-76.013,594.31,0,0,0,0
-0.70808,-0.37148,1.0452,-78.736,590.83,0,0,0,0
-0.70805,-0.3691,1.0438,-80.485,587.53,0,0,0,0
-0.70789,-0.36374,1.043,-80.003,587.47,0,0,0,0
-0.70779,-0.3613,1.0435,-77.104,590.66,0,0,0,0
-0.70594,-0.34319,1.0743,15.573,682.84,0,0,0,0
-0.70591,-0.34022,1.0722,17.083,682.46,0,0,0,0
-0.70679,-0.34388,1.0531,-34.274,641.62,0,0,0,0
-0.70706,-0.34674,1.0489,-48.075,621.31,0,0,0,0
-0.70689,-0.34401,1.0507,-40.932,629.46,0,0,0,0
-0.7073,-0.3486,1.0444,-61.553,601.18,0,0,0,0
-0.70716,-0.34654,1.0461,-54.644,609.59,0,0,0,0
-0.7063,-0.35813,1.0794,-8.1765,680.08,0,0,0,0
-0.70643,-0.35927,1.0769,-14.722,674.16,0,0,0,0
-0.70615,-0.35469,1.0798,-1.2455,683.21,0,0,0,0
-0.70639,-0.3627,1.0816,-12.379,678.15,0,0,0,0
-0.70658,-0.36455,1.0781,-18.687,670.93,0,0,0,0
-0.7066,-0.36333,1.0764,-20.262,669.02,0,0,0,0
-0.70627,-0.35985,1.0817,-7.2671,682.43,0,0,0,0
-0.70663,-0.36618,1.0784,-21.755,667.59,0,0,0,0
-0.70678,-0.3688,1.077,-26.317,661.73,0,0,0,0
-0.70687,-0.36946,1.0752,-30.34,656.9,0,0,0,0
-0.70701,-0.37337,1.0753,-33.871,651.8,0,0,0,0
-0.70688,-0.34135,1.0486,-42.317,621.91,0,0,0,0
-0.70679,-0.3395,1.0491,-37.678,623.82,0,0,0,0
-0.70666,-0.33809,1.0511,-30.085,633.9,0,0,0,0
-0.7064,-0.33363,1.0537,-15.764,645.11,0,0,0,0
-0.70626,-0.33064,1.0545,-9.3764,643.86,0,0,0,0
-0.70619,-0.33013,1.0557,-1.3189,653.5,0,0,0,0
-0.70606,-0.32722,1.0564,6.6305,654.34,0,0,0,0
-0.70591,-0.32734,1.0601,15.251,666.24,0,0,0,0
-0.70615,-0.32547,1.0526,-0.97284,624.45,0,0,0,0
-0.70604,-0.32583,1.0556,6.8747,642.91,0,0,0,0
-0.70632,-0.32928,1.0518,-12.847,629.97,0,0,0,0
-0.70625,-0.32689,1.0513,-9.9675,619.19,0,0,0,0
-0.70579,-0.33376,1.0692,26.607,681.92,0,0,0,0
-0.70578,-0.32941,1.0653,28.137,678.38,0,0,0,0
-0.70569,-0.33045,1.0686,32.543,680.37,0,0,0,0
-0.70581,-0.32553,1.061,24.963,667.66,0,0,0,0
